MCG Other Temp Members Top50 Home Away Year
8.653 72.921 24 12.601 5 NM Bris A
49.856 60.848 21 25.991 7 Ess Carl A
24.362 59.842 24 16.948 5 NM Melb A
46.588 9.272 22 27.046 8 Ess Gee A
29.296 74.798 17 22.874 7 Rich StK A
34.372 61.938 16 51.646 8 Ess Adel A
17.781 92.086 19 13.015 4 Rich Syd A
37.119 23.36 13 29.945 9 Carl Gee A
44.094 61.168 14 21.643 6 Melb Ess A
19.057 54.887 13 21.464 7 Ess Rich A
20.543 56.466 15 17.296 5 Ess Bris A
40.819 58.921 14 25.597 7 Melb Gee A
44.303 83.475 15 21.485 6 Haw Melb A
67.035 52.635 15 25.991 7 Ess Carl A
34.439 59.652 15 22.351 7 Gee NM A
30.874 73.571 15 24.363 6 Carl Rich A
40.229 22.244 17 23.024 7 Ess Foot A
85.054 76.519 19 36.327 7 Carl Coll A
31.109 44.744 20 18.329 7 Foot NM A
39.492 74.084 29 43.253 6 Ess WC B
27.195 54.932 19 22.001 6 NM StK B
19.609 39.283 23 32.36 5 Rich WC B
61.193 52.574 23 29.346 5 Ess Melb B
74.33 38.515 21 39.164 7 Ess Coll B
27.022 69.546 20 34.486 5 NM WC B
34.601 48.464 17 20.579 5 Melb NM B
35.851 23.567 15 31.942 6 Coll StK B
19.333 77.328 17 13.673 3 Melb Syd B
75.129 69.605 18 33.102 5 Ess Gee B
52.199 40.015 14 28.265 6 Melb Carl B
26.917 40.442 16 18.33 4 Rich NM B
32.528 51.623 15 18.453 4 Melb Rich B
50.141 64.794 15 29.223 4 NM Ess B
49.878 63.899 20 17.36 6 Rich Foot B
85.381 59.319 14 38.083 7 Coll Carl B
38.858 53.276 14 30.768 6 Ess StK B
43.132 38.007 13 29.346 4 Melb Ess B
33.503 41.04 14 19.875 5 Rich StK B
49.872 26.052 12 30.52 7 Melb Coll B
66.555 25.553 14 34.276 10 Coll Gee B
61.231 58.894 18 36.909 5 Ess Carl B
