cover block treat lncover
14 block.1 C 2.63905732961526
23 block.1 C 3.13549421592915
22 block.2 C 3.09104245335832
35 block.2 C 3.55534806148941
67 block.3 C 4.20469261939097
82 block.3 C 4.40671924726425
94 block.4 C 4.54329478227
95 block.4 C 4.55387689160054
34 block.5 C 3.52636052461616
53 block.5 C 3.97029191355212
58 block.6 C 4.06044301054642
75 block.6 C 4.31748811353631
19 block.7 C 2.94443897916644
47 block.7 C 3.85014760171006
53 block.8 C 3.97029191355212
61 block.8 C 4.11087386417331
4 block.1 L 1.38629436111989
4 block.1 L 1.38629436111989
7 block.2 L 1.94591014905531
8 block.2 L 2.07944154167984
28 block.3 L 3.3322045101752
58 block.3 L 4.06044301054642
27 block.4 L 3.29583686600433
35 block.4 L 3.55534806148941
11 block.5 L 2.39789527279837
33 block.5 L 3.49650756146648
16 block.6 L 2.77258872223978
31 block.6 L 3.43398720448515
6 block.7 L 1.79175946922805
8 block.7 L 2.07944154167984
15 block.8 L 2.70805020110221
17 block.8 L 2.83321334405622
11 block.1 f 2.39789527279837
24 block.1 f 3.17805383034795
14 block.2 f 2.63905732961526
31 block.2 f 3.43398720448515
52 block.3 f 3.95124371858143
59 block.3 f 4.07753744390572
83 block.4 f 4.4188406077966
89 block.4 f 4.48863636973214
33 block.5 f 3.49650756146648
34 block.5 f 3.52636052461616
39 block.6 f 3.66356164612965
52 block.6 f 3.95124371858143
43 block.7 f 3.76120011569356
53 block.7 f 3.97029191355212
30 block.8 f 3.40119738166216
37 block.8 f 3.61091791264422
3 block.1 Lf 1.09861228866811
5 block.1 Lf 1.6094379124341
3 block.2 Lf 1.09861228866811
6 block.2 Lf 1.79175946922805
9 block.3 Lf 2.19722457733622
31 block.3 Lf 3.43398720448515
21 block.4 Lf 3.04452243772342
57 block.4 Lf 4.04305126783455
5 block.5 Lf 1.6094379124341
9 block.5 Lf 2.19722457733622
26 block.6 Lf 3.25809653802148
43 block.6 Lf 3.76120011569356
4 block.7 Lf 1.38629436111989
12 block.7 Lf 2.484906649788
12 block.8 Lf 2.484906649788
18 block.8 Lf 2.89037175789616
10 block.1 fF 2.30258509299405
13 block.1 fF 2.56494935746154
10 block.2 fF 2.30258509299405
15 block.2 fF 2.70805020110221
44 block.3 fF 3.78418963391826
50 block.3 fF 3.91202300542815
57 block.4 fF 4.04305126783455
73 block.4 fF 4.29045944114839
26 block.5 fF 3.25809653802148
42 block.5 fF 3.73766961828337
38 block.6 fF 3.63758615972639
42 block.6 fF 3.73766961828337
29 block.7 fF 3.36729582998647
36 block.7 fF 3.58351893845611
11 block.8 fF 2.39789527279837
40 block.8 fF 3.68887945411394
1 block.1 LfF 0
2 block.1 LfF 0.693147180559945
3 block.2 LfF 1.09861228866811
5 block.2 LfF 1.6094379124341
6 block.3 LfF 1.79175946922805
9 block.3 LfF 2.19722457733622
7 block.4 LfF 1.94591014905531
22 block.4 LfF 3.09104245335832
5 block.5 LfF 1.6094379124341
6 block.5 LfF 1.79175946922805
10 block.6 LfF 2.30258509299405
17 block.6 LfF 2.83321334405622
5 block.7 LfF 1.6094379124341
14 block.7 LfF 2.63905732961526
5 block.8 LfF 1.6094379124341
7 block.8 LfF 1.94591014905531
