diameter height volume
4.6 33 2.2
4.4 38 2.0
5.0 40 3.0
5.1 49 4.3
5.1 37 3.0
5.2 41 2.9
5.2 41 3.5
10.2 80 27.0
14.6 91 65.6
5.5 39 3.4
10.2 82 27.0
14.8 90 59.3
5.5 50 5.0
10.3 81 27.4
14.9 68 41.4
5.6 69 7.2
10.4 75 25.2
15.1 96 61.5
5.9 58 6.4
10.6 75 25.5
15.2 91 66.7
5.9 50 5.6
11.0 71 25.8
15.2 97 68.2
7.5 45 7.7
11.1 81 32.8
15.3 95 73.2
7.6 51 10.3
11.2 91 35.4
15.4 89 65.9
7.6 49 8.0
11.5 66 26.0
15.7 73 55.5
7.8 59 12.1
11.7 65 29.0
15.9 99 73.6
8.0 56 11.1
12.0 72 30.2
16.0 90 65.9
8.1 86 16.8
12.2 66 28.2
16.8 90 71.4
8.4 59 13.6
12.2 72 32.4
17.8 91 80.2
8.6 78 16.6
12.5 90 41.3
18.3 96 93.8
8.9 93 20.2
12.9 88 45.2
18.3 100 97.9
9.1 65 17.0
19.4 94 107.0
13.0 63 31.5
9.2 67 17.7
23.4 104 163.5
13.1 69 37.8
14.3 77 58.9
9.3 76 19.4
9.3 64 17.1
13.1 65 31.6
9.8 71 23.9
13.4 73 43.1
9.9 72 22.0
13.8 69 36.5
9.9 79 23.1
13.8 77 43.3
9.9 69 22.6
14.3 64 41.3
10.1 71 22.0
