Name Year Speed
Boardman 1994 55.152 
Boardman 1998 54.193 
Cancellara 2007 53.66 
Cancellara 2004 53.43 
Cancellara 2010 53.4 
Cancellara 2012 53.21 
Moreau 2001 52.7143 
Boardman 1997 52.56 
Marie 1991 52.3989 
Millar 2000 51.9635 
Zulle 1996 51.8224 
Vanderaerden 1986 51.5888 
Nijdam 1987 51.5493 
Hushovd 2006 51.4286 
Indurain 1992 51.2456 
Hinault 1981 51.1765 
Millar 2003 50.852 
Armstrong 1999 50.7884 
Knetemann 1979 50.1393 
Armstrong 2002 49.927 
Indurain 1993 49.7561 
Hinault 1980 49.4756 
Merckx 1972 48.7943 
Hinault 1984 48.7218 
Durand 1995 48.6667 
Marie 1990 48.3582 
Merckx 1974 47.8652 
Thurau 1977 47.8634 
Breukink 1989 47.2727 
Raas 1978 47.0352 
Vanderaerden 1983 46.9194 
Hinault 1982 46.655 
Hinault 1985 46.4516 
Maertens 1976 43.4389 
Zoetemelk 1973 42.716
Dennis 2015 55.446
