	LifeExp	People.per.TV	People.per.Dr	LifeExp.Male
Argentina	70.5	4	370	74
Bangladesh	53.5	315	6166	53
Brazil	65	4	684	68
Canada	76.5	1.7	449	80
China	70	8	643	72
Colombia	71	5.6	1551	74
Egypt	60.5	15	616	61
Ethiopia	51.5	503	36660	53
France	78	2.6	403	82
Germany	76	2.6	346	79
India	57.5	44	2471	58
Indonesia	61	24	7427	63
Iran	64.5	23	2992	65
Italy	78.5	3.8	233	82
Japan	79	1.8	609	82
Kenya	61	96	7615	63
Korea.North	70	90	370	73
Korea.South	70	4.9	1066	73
Mexico	72	6.6	600	76
Morocco	64.5	21	4873	66
Burma	54.5	592	3485	56
Pakistan	56.5	73	2364	57
Peru	64.5	14	1016	67
Philippines	64.5	8.8	1062	67
Poland	73	3.9	480	77
Romania	72	6	559	75
Russia	69	3.2	259	74
South.Africa	64	11	1340	67
Spain	78.5	2.6	275	82
Sudan	53	23	12550	54
Taiwan	75	3.2	965	78
Thailand	68.5	11	4883	71
Turkey	70	5	1189	72
Ukraine	70.5	3	226	75
UK	76	3	611	79
USA	75.5	1.3	404	79
Venezuela	74.5	5.6	576	78
Vietnam	65	29	3096	67
